Location,date,population,total_cases,total_deaths
Afghanistan,01-01-2021,41128772,52513,2201
Afghanistan,02-01-2021,41128772,52586,2211
Afghanistan,03-01-2021,41128772,52709,2221
Afghanistan,04-01-2021,41128772,52909,2230
Afghanistan,05-01-2021,41128772,53011,2237
Afghanistan,06-01-2021,41128772,53105,2244
Afghanistan,07-01-2021,41128772,53207,2253
Afghanistan,08-01-2021,41128772,53332,2257
Afghanistan,09-01-2021,41128772,53400,2264
Afghanistan,10-01-2021,41128772,53489,2277
Afghanistan,11-01-2021,41128772,53538,2288
Afghanistan,12-01-2021,41128772,53584,2301
Afghanistan,13-01-2021,41128772,53690,2308
Afghanistan,14-01-2021,41128772,53775,2314
Afghanistan,15-01-2021,41128772,53831,2324
Afghanistan,16-01-2021,41128772,53938,2336
Afghanistan,17-01-2021,41128772,53984,2339
Afghanistan,18-01-2021,41128772,54062,2343
Afghanistan,19-01-2021,41128772,54141,2346
Afghanistan,20-01-2021,41128772,54278,2354
Afghanistan,21-01-2021,41128772,54403,2363
Afghanistan,22-01-2021,41128772,54483,2370
Afghanistan,23-01-2021,41128772,54559,2373
Afghanistan,24-01-2021,41128772,54595,2378
Afghanistan,25-01-2021,41128772,54672,2385
Afghanistan,26-01-2021,41128772,54750,2389
Afghanistan,27-01-2021,41128772,54854,2389
Afghanistan,28-01-2021,41128772,54891,2397
Afghanistan,29-01-2021,41128772,54939,2399
Afghanistan,30-01-2021,41128772,55008,2400
Afghanistan,31-01-2021,41128772,55023,2400
Afghanistan,01-02-2021,41128772,55059,2404
Afghanistan,02-02-2021,41128772,55121,2405
Afghanistan,03-02-2021,41128772,55174,2406
Afghanistan,04-02-2021,41128772,55231,2407
Afghanistan,05-02-2021,41128772,55265,2407
Afghanistan,06-02-2021,41128772,55330,2408
Afghanistan,07-02-2021,41128772,55335,2410
Afghanistan,08-02-2021,41128772,55359,2413
Afghanistan,09-02-2021,41128772,55384,2414
Afghanistan,10-02-2021,41128772,55402,2418
Afghanistan,11-02-2021,41128772,55420,2419
Afghanistan,12-02-2021,41128772,55445,2424
Afghanistan,13-02-2021,41128772,55473,2427
Afghanistan,14-02-2021,41128772,55492,2427
Afghanistan,15-02-2021,41128772,55514,2427
Afghanistan,16-02-2021,41128772,55518,2428
Afghanistan,17-02-2021,41128772,55540,2428
Afghanistan,18-02-2021,41128772,55557,2430
Afghanistan,19-02-2021,41128772,55575,2430
Afghanistan,20-02-2021,41128772,55580,2430
Afghanistan,21-02-2021,41128772,55604,2432
Afghanistan,22-02-2021,41128772,55617,2433
Afghanistan,23-02-2021,41128772,55646,2435
Afghanistan,24-02-2021,41128772,55664,2436
Afghanistan,25-02-2021,41128772,55680,2438
Afghanistan,26-02-2021,41128772,55696,2442
Afghanistan,27-02-2021,41128772,55707,2443
Afghanistan,28-02-2021,41128772,55714,2443
Afghanistan,01-03-2021,41128772,55733,2444
Afghanistan,02-03-2021,41128772,55759,2446
Afghanistan,03-03-2021,41128772,55770,2446
Afghanistan,04-03-2021,41128772,55775,2446
Afghanistan,05-03-2021,41128772,55827,2449
Afghanistan,06-03-2021,41128772,55840,2449
Afghanistan,07-03-2021,41128772,55847,2449
Afghanistan,08-03-2021,41128772,55876,2451
Afghanistan,09-03-2021,41128772,55876,2451
Afghanistan,10-03-2021,41128772,55894,2451
Afghanistan,11-03-2021,41128772,55917,2451
Afghanistan,12-03-2021,41128772,55959,2454
Afghanistan,13-03-2021,41128772,55959,2454
Afghanistan,14-03-2021,41128772,55985,2457
Afghanistan,15-03-2021,41128772,55985,2459
Afghanistan,16-03-2021,41128772,55995,2460
Afghanistan,17-03-2021,41128772,56016,2460
Afghanistan,18-03-2021,41128772,56044,2462
Afghanistan,19-03-2021,41128772,56069,2462
Afghanistan,20-03-2021,41128772,56093,2462
Afghanistan,21-03-2021,41128772,56103,2463
Afghanistan,22-03-2021,41128772,56153,2464
