Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,79843,2021-12-31,23740,29.7333517
Andorra,79843,2021-12-30,23122,28.95933269
Andorra,79843,2021-12-29,22823,28.58484776
Andorra,79843,2021-12-28,22540,28.23040216
Andorra,79843,2021-12-27,22332,27.96989091
Andorra,79843,2021-12-24,21730,27.21591123
Andorra,79843,2021-12-25,21730,27.21591123
Andorra,79843,2021-12-26,21730,27.21591123
Montenegro,627082,2021-12-31,170034,27.11511413
Andorra,79843,2021-12-23,21571,27.01677041
Montenegro,627082,2021-12-30,168328,26.8430604
Andorra,79843,2021-12-22,21372,26.76753128
Gibraltar,32677,2021-12-31,8701,26.62729137
Montenegro,627082,2021-12-29,166581,26.56446844
Andorra,79843,2021-12-21,21062,26.37926932
Andorra,79843,2021-12-20,21062,26.37926932
Montenegro,627082,2021-12-28,165074,26.32414899
Montenegro,627082,2021-12-27,163954,26.14554396
Gibraltar,32677,2021-12-30,8533,26.11316828
Montenegro,627082,2021-12-26,163373,26.0528926
Montenegro,627082,2021-12-25,162828,25.96598212
Montenegro,627082,2021-12-24,162364,25.89198861
Montenegro,627082,2021-12-23,161944,25.82501172
Montenegro,627082,2021-12-22,161672,25.78163621
Gibraltar,32677,2021-12-29,8421,25.77041956
Andorra,79843,2021-12-16,20549,25.73675839
Andorra,79843,2021-12-17,20549,25.73675839
Andorra,79843,2021-12-18,20549,25.73675839
Andorra,79843,2021-12-19,20549,25.73675839
Montenegro,627082,2021-12-21,161364,25.73251983
Montenegro,627082,2021-12-20,161127,25.69472573
Montenegro,627082,2021-12-19,160995,25.67367585
Montenegro,627082,2021-12-18,160818,25.64544988
Montenegro,627082,2021-12-17,160655,25.61945647
Montenegro,627082,2021-12-16,160457,25.58788165
Montenegro,627082,2021-12-15,160270,25.55806099
Montenegro,627082,2021-12-14,160111,25.53270545
Montenegro,627082,2021-12-13,159901,25.49921701
Montenegro,627082,2021-12-12,159788,25.48119704
Montenegro,627082,2021-12-11,159635,25.45679831
Montenegro,627082,2021-12-10,159433,25.42458562
Gibraltar,32677,2021-12-28,8297,25.39094776
Montenegro,627082,2021-12-09,159214,25.38966196
Montenegro,627082,2021-12-08,159034,25.36095758
Montenegro,627082,2021-12-07,158838,25.3297017
Montenegro,627082,2021-12-06,158623,25.29541591
Montenegro,627082,2021-12-05,158466,25.27037931
Montenegro,627082,2021-12-04,158283,25.24119653
Andorra,79843,2021-12-15,20136,25.21949326
Andorra,79843,2021-12-14,20136,25.21949326
Montenegro,627082,2021-12-03,158076,25.20818649
Montenegro,627082,2021-12-02,157869,25.17517645
Gibraltar,32677,2021-12-27,8220,25.15530801
Montenegro,627082,2021-12-01,157611,25.13403351
Montenegro,627082,2021-11-30,157376,25.09655834
Montenegro,627082,2021-11-29,157085,25.05015293
Montenegro,627082,2021-11-28,156873,25.01634555
Montenegro,627082,2021-11-27,156608,24.97408632
Georgia,3744385,2021-12-31,934741,24.96380581
Montenegro,627082,2021-11-26,156268,24.91986694
Gibraltar,32677,2021-12-25,8142,24.91660801
Gibraltar,32677,2021-12-26,8142,24.91660801
Georgia,3744385,2021-12-30,932641,24.90772183
Montenegro,627082,2021-11-25,156004,24.87776718
Georgia,3744385,2021-12-29,930544,24.85171797
Montenegro,627082,2021-11-24,155694,24.82833186
Georgia,3744385,2021-12-28,928030,24.78457744
Montenegro,627082,2021-11-23,155365,24.77586663
Gibraltar,32677,2021-12-24,8084,24.73911314
Montenegro,627082,2021-11-22,155011,24.71941469
Georgia,3744385,2021-12-27,925354,24.71311043
Georgia,3744385,2021-12-26,924368,24.68677767
Montenegro,627082,2021-11-21,154758,24.67906909
Georgia,3744385,2021-12-25,922707,24.64241791
Montenegro,627082,2021-11-20,154464,24.63218526
Georgia,3744385,2021-12-24,920617,24.586601
Montenegro,627082,2021-11-19,154128,24.57860376
Georgia,3744385,2021-12-23,918641,24.53382865
Gibraltar,32677,2021-12-23,8014,24.52489519
Montenegro,627082,2021-11-18,153743,24.51720828
Georgia,3744385,2021-12-22,916477,24.47603545
Montenegro,627082,2021-11-17,153334,24.45198555
Georgia,3744385,2021-12-21,913738,24.40288592
Montenegro,627082,2021-11-16,152931,24.38771963
Andorra,79843,2021-12-10,19440,24.34778252
Andorra,79843,2021-12-11,19440,24.34778252
Andorra,79843,2021-12-12,19440,24.34778252
Andorra,79843,2021-12-13,19440,24.34778252
San Marino,33690,2021-12-31,8202,24.34550312
Gibraltar,32677,2021-12-22,7954,24.3412798
Georgia,3744385,2021-12-20,910456,24.31523468
Montenegro,627082,2021-11-15,152411,24.30479586
Slovakia,5643455,2021-12-31,1371082,24.29508165
Georgia,3744385,2021-12-19,909160,24.28062285
Montenegro,627082,2021-11-14,152087,24.25312798
Slovakia,5643455,2021-12-30,1367361,24.22914686
Georgia,3744385,2021-12-18,906965,24.22200174
Montenegro,627082,2021-11-13,151730,24.19619763
Gibraltar,32677,2021-12-21,7902,24.18214646
Slovakia,5643455,2021-12-29,1363478,24.16034149
Georgia,3744385,2021-12-17,904181,24.14765042
Andorra,79843,2021-12-09,19272,24.13736959
Montenegro,627082,2021-11-12,151272,24.12316093
Georgia,3744385,2021-12-16,901202,24.06809129
Slovakia,5643455,2021-12-28,1357165,24.0484774
Montenegro,627082,2021-11-11,150793,24.04677538
Gibraltar,32677,2021-12-20,7843,24.00159133
Georgia,3744385,2021-12-15,898079,23.9846864
Montenegro,627082,2021-11-10,150313,23.97023037
Slovakia,5643455,2021-12-27,1351450,23.94720964
Gibraltar,32677,2021-12-19,7822,23.93732595
Slovakia,5643455,2021-12-26,1349806,23.91807855
Slovakia,5643455,2021-12-25,1349146,23.90638359
Georgia,3744385,2021-12-14,894801,23.89714199
Slovakia,5643455,2021-12-24,1347874,23.88384421
Montenegro,627082,2021-11-09,149729,23.8771006
Gibraltar,32677,2021-12-18,7778,23.80267466
Georgia,3744385,2021-12-13,890813,23.79063585
